,BarTime,symbol,direction,RMultiple,tradeIndex,Result
0,2016-01-06 22:00:00+00:00,CHFJPY,Buy,-1.0282301845819761,0,Lose
1,2016-01-06 22:00:00+00:00,EURJPY,Buy,-1.0,1,Lose
2,2016-01-19 22:00:00+00:00,EURCAD,Sell,2.2633451957295376,2,Win
3,2016-01-24 22:00:00+00:00,AUDUSD,Sell,-1.018223234624146,3,Lose
4,2016-01-31 22:00:00+00:00,AUDNZD,Sell,2.3033509700176364,4,Win
7,2016-02-01 22:00:00+00:00,AUDJPY,Sell,0.0,-1,NoEntry
5,2016-02-01 22:00:00+00:00,CADJPY,Sell,0.0,-1,NoEntry
6,2016-02-01 22:00:00+00:00,EURJPY,Sell,0.0,-1,NoEntry
8,2016-02-11 22:00:00+00:00,EURGBP,Sell,0.0,-1,NoEntry
10,2016-02-23 22:00:00+00:00,CHFJPY,Buy,-1.0261324041811846,6,Lose
9,2016-02-24 22:00:00+00:00,EURJPY,Buy,-1.0,5,Lose
11,2016-02-28 22:00:00+00:00,AUDCHF,Buy,-0.6007677543186181,7,Lose
12,2016-03-03 22:00:00+00:00,AUDNZD,Sell,-1.0,8,Lose
13,2016-03-07 22:00:00+00:00,AUDJPY,Sell,-1.0614173228346457,9,Lose
14,2016-04-03 21:00:00+00:00,AUDCHF,Sell,0.0,-1,NoEntry
16,2016-04-13 21:00:00+00:00,AUDCAD,Buy,-1.2601626016260163,11,Lose
15,2016-04-18 21:00:00+00:00,EURGBP,Sell,-1.0,10,Lose
17,2016-04-20 21:00:00+00:00,EURAUD,Buy,2.283482142857143,12,Win
18,2016-04-27 21:00:00+00:00,EURCHF,Sell,-1.0,13,Lose
19,2016-04-28 21:00:00+00:00,AUDCHF,Sell,-1.0,14,Lose
20,2016-05-04 21:00:00+00:00,EURGBP,Sell,-1.0,15,Lose
21,2016-05-09 21:00:00+00:00,EURCAD,Sell,-1.0255009107468123,16,Lose
22,2016-05-12 21:00:00+00:00,EURJPY,Sell,-1.001338688085676,17,Lose
23,2016-05-16 21:00:00+00:00,AUDCAD,Buy,-0.8571428571428572,18,Lose
24,2016-05-16 21:00:00+00:00,EURGBP,Sell,2.432515337423313,19,Win
25,2016-05-25 21:00:00+00:00,EURGBP,Buy,-1.0236486486486487,20,Lose
26,2016-06-08 21:00:00+00:00,AUDUSD,Sell,0.0,-1,NoEntry
27,2016-06-12 21:00:00+00:00,EURCAD,Buy,-1.0301047120418847,21,Lose
28,2016-06-13 21:00:00+00:00,AUDCHF,Sell,-1.0184049079754602,22,Lose
29,2016-06-13 21:00:00+00:00,AUDNZD,Buy,-1.0,23,Lose
30,2016-06-14 21:00:00+00:00,AUDCAD,Buy,2.285012285012285,24,Win
31,2016-06-29 21:00:00+00:00,CHFJPY,Buy,-1.0,25,Lose
32,2016-07-20 21:00:00+00:00,AUDCAD,Buy,2.3262411347517733,26,Win
33,2016-07-25 21:00:00+00:00,AUDCHF,Buy,-1.0,27,Lose
34,2016-07-25 21:00:00+00:00,EURCHF,Buy,-1.0,28,Lose
35,2016-08-10 21:00:00+00:00,AUDCAD,Sell,0.0,-1,NoEntry
36,2016-08-11 21:00:00+00:00,AUDUSD,Sell,-1.0214797136038185,29,Lose
37,2016-08-15 21:00:00+00:00,AUDNZD,Sell,0.0,-1,NoEntry
38,2016-08-31 21:00:00+00:00,AUDUSD,Buy,2.357638888888889,30,Win
39,2016-09-01 21:00:00+00:00,EURCHF,Sell,0.0,-1,NoEntry
40,2016-09-04 21:00:00+00:00,EURJPY,Sell,2.3030303030303028,31,Win
41,2016-09-05 21:00:00+00:00,CADJPY,Sell,0.0,-1,NoEntry
42,2016-09-06 21:00:00+00:00,EURGBP,Buy,0.0,-1,NoEntry
43,2016-09-15 21:00:00+00:00,CADCHF,Buy,-1.1059190031152648,32,Lose
45,2016-09-26 21:00:00+00:00,EURGBP,Sell,-1.465478841870824,33,Lose
44,2016-09-27 21:00:00+00:00,AUDCAD,Sell,0.0,-1,NoEntry
46,2016-10-04 21:00:00+00:00,CADCHF,Sell,-1.0,34,Lose
47,2016-10-06 21:00:00+00:00,AUDJPY,Sell,-0.5251509054325956,35,Lose
48,2016-10-06 21:00:00+00:00,EURJPY,Sell,-0.774703557312253,36,Lose
49,2016-10-10 21:00:00+00:00,AUDUSD,Sell,-1.0,37,Lose
51,2016-10-26 21:00:00+00:00,AUDCHF,Sell,2.3291457286432165,39,Win
50,2016-10-26 21:00:00+00:00,CADJPY,Buy,-1.0334075723830736,38,Lose
52,2016-11-08 22:00:00+00:00,AUDCAD,Sell,-1.0171073094867809,40,Lose
53,2016-11-27 22:00:00+00:00,EURJPY,Sell,-1.0615141955835963,41,Lose
54,2016-11-28 22:00:00+00:00,EURCHF,Buy,0.0,-1,NoEntry
55,2016-11-29 22:00:00+00:00,AUDCAD,Sell,0.0,-1,NoEntry
56,2016-12-15 22:00:00+00:00,AUDJPY,Sell,0.0,-1,NoEntry
57,2016-12-29 22:00:00+00:00,AUDNZD,Buy,-1.009090909090909,42,Lose
59,2017-02-14 22:00:00+00:00,EURCAD,Buy,-1.0020876826722338,43,Lose
58,2017-02-19 22:00:00+00:00,EURGBP,Sell,0.0,-1,NoEntry
60,2017-03-13 21:00:00+00:00,EURJPY,Sell,2.3092979127134723,44,Win
61,2017-03-20 21:00:00+00:00,AUDCAD,Sell,0.0,-1,NoEntry
62,2017-03-28 21:00:00+00:00,AUDUSD,Buy,-1.0084033613445378,45,Lose
63,2017-03-30 21:00:00+00:00,AUDCAD,Sell,-1.0,46,Lose
64,2017-04-02 21:00:00+00:00,AUDCHF,Sell,2.3583061889250816,47,Win
65,2017-04-11 21:00:00+00:00,AUDUSD,Buy,0.0,-1,NoEntry
66,2017-04-30 21:00:00+00:00,EURAUD,Sell,-1.1307277628032346,48,Lose
67,2017-05-02 21:00:00+00:00,AUDJPY,Sell,0.0,-1,NoEntry
68,2017-05-07 21:00:00+00:00,AUDCHF,Buy,2.3307086614173227,49,Win
69,2017-05-15 21:00:00+00:00,CADCHF,Sell,0.0,-1,NoEntry
70,2017-05-16 21:00:00+00:00,AUDNZD,Sell,-1.0,50,Lose
71,2017-05-21 21:00:00+00:00,AUDNZD,Sell,0.0,-1,NoEntry
72,2017-05-29 21:00:00+00:00,AUDCAD,Buy,-1.0,51,Lose
74,2017-06-04 21:00:00+00:00,AUDCHF,Buy,2.319910514541387,53,Win
73,2017-06-04 21:00:00+00:00,AUDJPY,Buy,-1.0,52,Lose
75,2017-06-08 21:00:00+00:00,AUDCAD,Sell,2.3115079365079367,54,Win
76,2017-06-20 21:00:00+00:00,AUDJPY,Sell,-1.0,55,Lose
77,2017-06-20 21:00:00+00:00,CADJPY,Sell,-1.0,56,Lose
78,2017-07-02 21:00:00+00:00,AUDUSD,Sell,-1.0,57,Lose
79,2017-07-04 21:00:00+00:00,EURCHF,Sell,-1.0,58,Lose
81,2017-07-10 21:00:00+00:00,AUDCAD,Buy,0.0,-1,NoEntry
83,2017-07-10 21:00:00+00:00,AUDNZD,Buy,2.291012838801712,60,Win
80,2017-07-10 21:00:00+00:00,AUDUSD,Buy,0.0,-1,NoEntry
82,2017-07-10 21:00:00+00:00,CADCHF,Sell,-1.1515151515151516,59,Lose
84,2017-07-16 21:00:00+00:00,CADCHF,Sell,2.374074074074074,61,Win
85,2017-07-16 21:00:00+00:00,EURCAD,Buy,2.3112449799196786,62,Win
86,2017-07-20 21:00:00+00:00,AUDCAD,Sell,-1.030664395229983,63,Lose
87,2017-08-02 21:00:00+00:00,AUDJPY,Sell,2.3205128205128207,64,Win
88,2017-08-29 21:00:00+00:00,EURGBP,Sell,2.3268765133171914,65,Win
89,2017-09-07 21:00:00+00:00,CADCHF,Sell,-1.0022026431718063,66,Lose
90,2017-09-07 21:00:00+00:00,CADJPY,Sell,-0.9258010118043845,67,Lose
91,2017-09-07 21:00:00+00:00,EURCAD,Buy,-1.0193548387096774,68,Lose
93,2017-09-14 21:00:00+00:00,CADCHF,Sell,2.3324468085106385,70,Win
92,2017-09-19 21:00:00+00:00,CHFJPY,Sell,2.3649122807017546,69,Win
94,2017-10-03 21:00:00+00:00,AUDUSD,Buy,-1.2016806722689075,71,Lose
96,2017-10-25 21:00:00+00:00,EURCHF,Sell,-1.0,73,Lose
95,2017-10-31 21:00:00+00:00,CADJPY,Buy,2.3407202216066483,72,Win
97,2017-11-15 22:00:00+00:00,EURGBP,Sell,2.356902356902357,74,Win
98,2017-11-20 22:00:00+00:00,EURAUD,Sell,-1.0,75,Lose
99,2017-11-22 22:00:00+00:00,EURGBP,Buy,2.391489361702128,76,Win
100,2017-12-05 22:00:00+00:00,EURCAD,Buy,0.0,-1,NoEntry
102,2017-12-18 22:00:00+00:00,EURAUD,Buy,-1.0069808027923213,78,Lose
101,2017-12-19 22:00:00+00:00,AUDCAD,Sell,2.3705179282868523,77,Win
